,lon,lat
354,-96.7298519,32.9483335
355,-88.2825668,42.0354084
357,-73.7845768,41.0050977
358,-85.323214,51.253775
359,-81.3792365,28.5383355
360,-73.087749,41.6032207
361,-82.3248262,29.6516344
362,-75.1926937,40.1416782
363,-75.1652215,39.9525839
364,-79.2468626,43.1593745
365,-99.9018131,31.9685988
366,-93.711332,41.5772115
369,-82.4571776,27.950575
370,-73.087749,41.6032207
371,-116.419389,34.9592083
372,-5.0527125,50.2660471
373,-76.3036051,36.860402
374,77.2090212,28.6139391
376,-76.2858726,36.8507689
377,-85.6023643,44.3148443
378,-74.0337382,42.7006324
379,-71.0588801,42.3600825
380,-87.6297982,41.8781136
381,-102.4107493,34.2331373
382,-106.346771,56.130366
383,-87.6297982,41.8781136
384,-95.0193728,29.6657838
385,-118.2436849,34.0522342
387,-72.405239,41.3503671
388,-90.5720803,41.453089
389,-77.0909809,38.8816208
390,-71.5723953,43.1938516
391,-77.7199932,39.6417629
392,-97.0150078,32.9545687
393,-93.2726657,44.748941
394,-95.712891,37.09024
395,-52.7424429,47.6212101
396,-2.6103158,53.2326344
397,-74.0059728,40.7127753
398,-81.6326234,38.3498195
399,-73.9441579,40.6781784
400,-86.7816016,36.1626638
403,-74.0059728,40.7127753
404,-76.6412712,39.0457549
406,-87.1610807,30.5993603
408,-97.5164276,35.4675602
410,-97.5164276,35.4675602
411,-77.1945247,41.2033216
412,-83.7343443,33.5178968
413,-81.5157535,27.6648274
414,-81.1637245,33.836081
415,45.079162,23.885942
416,-71.0588801,42.3600825
417,-77.0368707,38.9071923
418,-79.9958864,40.4406248
419,-77.0368707,38.9071923
420,-86.954437,33.4017766
422,-94.8337259,39.8573561
426,-75.9588656,42.1198105
427,-90.2290098,39.733936
428,-74.0059728,40.7127753
429,-119.4179324,36.778261
431,-86.5861037,34.7303688
432,-74.0059728,40.7127753
433,-95.6890185,39.0558235
434,-77.0368707,38.9071923
436,-149.4936733,64.2008413
438,-77.0368707,38.9071923
439,-74.1500469,40.7936744
440,8.468946,60.472024
441,-84.3879824,33.7489954
442,-82.907123,40.4172871
443,-77.0368707,38.9071923
444,-119.4179324,36.778261
445,-80.1917902,25.7616798
447,-77.026088,38.9906657
448,-71.0588801,42.3600825
449,-81.4023356,40.875891
450,-89.4012302,43.0730517
451,-80.6692352,35.0768141
452,-82.907123,40.4172871
453,-87.5031397,44.4583321
454,-73.9441579,40.6781784
455,-80.1373174,26.1224386
457,-80.1373174,26.1224386
458,-80.1917902,25.7616798
459,-78.8783689,42.8864468
460,-80.973977,34.2143159
463,-87.6297982,41.8781136
464,-77.0947092,38.984652
466,-71.39857,41.859778
468,-74.0059728,40.7127753
469,-74.1371832,40.0578384
470,-87.6297982,41.8781136
471,-95.712891,37.09024
472,-87.6297982,41.8781136
473,-86.1089301,42.7875235
474,-71.4508394,41.6443772
475,-78.898619,35.9940329
477,-122.788377,45.4604
478,-75.1652215,39.9525839
479,-77.0368707,38.9071923
480,-94.6858998,46.729553
482,-80.0942087,26.9342246
486,-77.0368707,38.9071923
487,-87.6297982,41.8781136
488,-73.9441579,40.6781784
490,-81.8552196,41.143245
491,-74.4056612,40.0583238
492,15.2551187,54.5259614
493,-9.0567905,53.270668
495,-66.063308,45.2733153
496,-79.0192997,35.7595731
497,-85.0322444,33.0362218
498,-74.0059728,40.7127753
499,-105.7820674,39.5500507
