,x
746,georgia
747,utah
748,NA
749,north carolina
750,NA
751,new york
752,arizona
753,florida
754,tennessee
755,NA
756,oklahoma
757,kansas
758,NA
759,south carolina
760,utah
761,georgia
762,georgia
763,NA
764,NA
765,NA
766,NA
767,georgia
768,wisconsin
769,NA
770,texas
771,NA
772,wisconsin
773,pennsylvania
774,florida
775,NA
776,tennessee
777,north carolina
778,new jersey
779,NA
780,NA
781,new york
782,NA
783,NA
784,NA
785,colorado
786,florida
787,NA
788,indiana
789,connecticut
790,new york
791,NA
792,north carolina
793,pennsylvania
794,NA
795,NA
796,NA
797,missouri
798,NA
799,NA
800,colorado
801,kansas
802,oklahoma
803,NA
804,california
805,missouri
806,NA
807,minnesota
808,NA
809,tennessee
810,georgia
811,new york
812,new jersey
813,new jersey
814,texas
815,illinois
816,georgia
817,alabama
818,california
819,ohio
820,florida
821,oklahoma
822,california
823,arkansas
824,minnesota
825,illinois
826,tennessee
827,kansas
828,florida
829,NA
830,NA
831,ohio
832,florida
833,maryland
834,alabama
835,indiana
836,virginia
837,NA
838,NA
839,ohio
840,delaware
841,texas
842,virginia
843,georgia
844,NA
845,NA
846,massachusetts
847,virginia
848,NA
849,kansas
850,georgia
851,georgia
852,NA
853,NA
854,illinois
855,NA
856,kansas
857,georgia
858,nevada
859,NA
860,new jersey
861,california
862,texas
863,pennsylvania
864,NA
865,new york
866,ohio
867,NA
868,new hampshire
869,NA
870,connecticut
871,florida
872,oklahoma
873,florida
874,michigan
875,NA
876,kansas
877,california
878,NA
879,virginia
880,wisconsin
881,illinois
882,NA
883,NA
884,pennsylvania
885,NA
886,south carolina
887,florida
888,new jersey
889,virginia
890,NA
891,new york
892,texas
893,mississippi
894,mississippi
895,NA
896,utah
897,california
898,mississippi
899,kansas
900,connecticut
901,new jersey
902,pennsylvania
903,NA
904,illinois
905,minnesota
906,maryland
907,NA
908,massachusetts
909,NA
910,NA
911,california
912,california
913,rhode island
914,district of columbia
915,missouri
916,washington
917,michigan
918,delaware
919,new jersey
920,new york
921,virginia
922,georgia
923,pennsylvania
924,pennsylvania
925,NA
926,NA
927,NA
928,pennsylvania
929,pennsylvania
930,new york
931,massachusetts
932,kentucky
933,pennsylvania
934,missouri
935,NA
936,new jersey
937,georgia
938,georgia
939,NA
940,NA
941,NA
942,new york
943,NA
944,pennsylvania
945,district of columbia
946,kansas
947,NA
948,pennsylvania
949,texas
950,ohio
951,NA
952,texas
953,NA
954,idaho
955,north carolina
956,massachusetts
957,florida
958,oklahoma
959,nebraska
960,massachusetts
961,pennsylvania
962,NA
963,missouri
964,massachusetts
965,illinois
966,michigan
967,NA
968,texas
969,florida
970,NA
971,indiana
972,district of columbia
973,NA
974,massachusetts
975,NA
976,pennsylvania
977,georgia
978,maryland
979,kansas
980,georgia
981,kansas
982,kentucky
983,maryland
984,kansas
985,NA
986,NA
987,kansas
988,NA
989,texas
990,north carolina
991,kansas
992,NA
993,NA
994,florida
995,indiana
996,NA
997,pennsylvania
998,kansas
999,california
1000,pennsylvania
